Date,Open,High,Low,Close,Volume,Adj Close
2015-01-02,15.40,15.40,15.40,15.40,000,15.40
2015-01-01,15.40,15.40,15.40,15.40,000,15.40
2014-12-31,15.35,15.45,15.30,15.40,40368000,15.40
2014-12-30,15.65,15.75,15.25,15.30,64608000,15.30
2014-12-29,15.35,15.70,15.30,15.55,105001000,15.55
2014-12-26,15.55,15.80,15.50,15.60,84122000,15.60
2014-12-25,15.70,15.80,15.50,15.55,111262000,15.55
2014-12-24,14.90,15.80,14.90,15.65,280041000,15.65
2014-12-23,14.95,14.95,14.75,14.85,64010000,14.85
2014-12-22,14.20,15.00,14.20,14.95,123366000,14.95
2014-12-19,14.25,14.40,14.10,14.10,62121000,14.10
2014-12-18,14.20,14.35,14.05,14.05,45100000,14.05
2014-12-17,14.20,14.30,13.90,14.05,64089000,14.05
2014-12-16,14.10,14.40,14.10,14.20,41554000,14.20
2014-12-15,14.00,14.15,13.90,14.15,51951000,14.15
2014-12-12,14.45,14.50,14.25,14.25,43690000,14.25
2014-12-11,14.00,14.50,13.85,14.40,71588000,14.40
2014-12-10,14.60,14.70,14.10,14.15,127678000,14.15
2014-12-09,14.80,14.95,14.70,14.70,59970000,14.70
2014-12-08,15.30,15.30,14.70,14.80,73592000,14.80
2014-12-05,15.25,15.30,15.05,15.20,73441000,15.20
2014-12-04,15.30,15.40,15.10,15.20,84506000,15.20
2014-12-03,14.70,15.35,14.65,15.20,183189000,15.20
2014-12-02,14.70,14.75,14.40,14.50,53895000,14.50
2014-12-01,14.40,14.80,14.35,14.80,64658000,14.80
2014-11-28,14.70,14.90,14.65,14.80,68763000,14.80
2014-11-27,14.60,14.80,14.55,14.60,61239000,14.60
2014-11-26,14.85,14.90,14.40,14.45,76716000,14.45
2014-11-25,15.00,15.05,14.85,14.85,75261000,14.85
2014-11-24,15.00,15.15,14.80,14.90,82548000,14.90
2014-11-21,14.95,15.10,14.80,14.95,106233000,14.95
2014-11-20,14.70,15.00,14.70,14.95,150263000,14.95
2014-11-19,14.45,14.65,14.35,14.60,142756000,14.60
2014-11-18,14.30,14.50,14.05,14.35,91979000,14.35
2014-11-17,14.45,14.45,14.10,14.25,72521000,14.25
2014-11-14,14.20,14.45,14.05,14.40,87863000,14.40
2014-11-13,14.20,14.20,14.05,14.15,51072000,14.15
2014-11-12,13.75,14.15,13.70,14.15,119034000,14.15
2014-11-11,14.30,14.30,13.60,13.90,193590000,13.90
2014-11-10,14.55,14.65,14.25,14.30,116675000,14.30
2014-11-07,14.10,14.60,14.10,14.50,155500000,14.50
2014-11-06,14.25,14.35,13.90,14.00,99226000,14.00
2014-11-05,14.50,14.50,14.20,14.20,75214000,14.20
2014-11-04,14.25,14.45,14.05,14.40,133414000,14.40
2014-11-03,13.95,14.25,13.95,14.15,147103000,14.15
2014-10-31,13.90,13.95,13.65,13.85,147868000,13.85
2014-10-30,13.80,14.00,13.40,13.80,166493000,13.80
2014-10-29,13.35,13.50,13.20,13.50,87637000,13.50
2014-10-28,12.95,13.30,12.90,13.25,71064000,13.25
2014-10-27,12.75,12.90,12.70,12.75,32164000,12.75
2014-10-24,13.20,13.20,12.65,12.70,75102000,12.70
2014-10-23,13.00,13.20,13.00,13.05,52743000,13.05
2014-10-22,12.75,13.30,12.65,13.00,120090000,13.00
2014-10-21,12.45,12.55,12.35,12.50,30878000,12.50
2014-10-20,12.40,12.50,12.30,12.40,52883000,12.40
2014-10-17,12.50,12.50,12.15,12.15,37032000,12.15
2014-10-16,12.35,12.55,12.10,12.35,67579000,12.35
2014-10-15,12.45,12.55,12.30,12.45,56226000,12.45
2014-10-14,12.05,12.45,12.05,12.45,63930000,12.45
2014-10-13,12.35,12.40,12.05,12.05,113279000,12.05
2014-10-10,12.95,12.95,12.95,12.95,000,12.95
2014-10-09,13.05,13.20,12.90,12.95,69156000,12.95
2014-10-08,12.80,13.10,12.70,12.90,51696000,12.90
2014-10-07,13.00,13.00,12.80,12.85,48353000,12.85
2014-10-06,13.25,13.40,13.10,13.10,40421000,13.10
2014-10-03,12.95,13.25,12.90,13.25,56663000,13.25
2014-10-02,12.95,13.05,12.80,12.85,52168000,12.85
2014-10-01,13.05,13.35,12.90,13.05,52000000,13.05
2014-09-30,13.15,13.25,12.70,13.15,82538000,13.15
2014-09-29,13.30,13.35,13.10,13.15,36224000,13.15
2014-09-26,13.10,13.25,12.90,13.25,61070000,13.25
2014-09-25,13.80,13.85,13.10,13.15,73119000,13.15
2014-09-24,13.60,13.80,13.60,13.70,32800000,13.70
2014-09-23,13.50,13.65,13.45,13.60,34169000,13.60
2014-09-22,13.90,13.90,13.45,13.50,78163000,13.50
2014-09-19,13.90,14.00,13.70,14.00,42867000,14.00
2014-09-18,13.90,14.00,13.80,13.80,34293000,13.80
2014-09-17,13.75,14.10,13.75,13.90,74313000,13.90
2014-09-16,14.35,14.40,13.45,13.60,125626000,13.60
2014-09-15,14.40,14.55,14.35,14.35,35762000,14.35
2014-09-12,14.85,14.85,14.55,14.55,47891000,14.55
2014-09-11,14.80,14.95,14.55,14.80,68900000,14.80
2014-09-10,14.80,14.90,14.50,14.75,57991000,14.75
2014-09-09,14.90,15.05,14.75,14.80,76314000,14.80
2014-09-08,14.70,14.70,14.70,14.70,000,14.70
2014-09-05,14.75,14.80,14.60,14.70,34475000,14.70
2014-09-04,14.70,14.95,14.60,14.65,78903000,14.65
2014-09-03,14.60,14.75,14.35,14.60,90509000,14.60
2014-09-02,15.10,15.10,14.55,14.60,147751000,14.60
2014-09-01,15.20,15.60,15.20,15.20,130588000,15.20
2014-08-29,15.15,15.25,15.00,15.20,90720000,15.20
2014-08-28,15.35,15.45,15.15,15.20,269007000,15.20
2014-08-27,14.20,15.00,14.20,15.00,307553000,15.00
2014-08-26,14.00,14.05,13.95,14.05,38563000,14.05
2014-08-25,13.90,14.15,13.80,14.05,78394000,14.05
2014-08-22,13.75,13.95,13.70,13.80,63058000,13.80
2014-08-21,14.00,14.10,13.65,13.75,61603000,13.75
2014-08-20,14.10,14.10,13.90,13.95,39036000,13.95
2014-08-19,14.05,14.15,14.00,14.00,48569000,14.00
2014-08-18,14.00,14.20,13.90,13.95,48242000,13.95
2014-08-15,13.80,14.10,13.80,14.00,102215000,14.00
2014-08-14,14.25,14.30,14.00,14.00,65928000,14.00
2014-08-13,13.70,14.25,13.60,14.25,91993000,14.25
2014-08-12,13.95,13.95,13.70,13.70,39213000,13.70
2014-08-11,13.75,13.95,13.65,13.95,69142000,13.95
2014-08-08,13.65,13.70,13.30,13.55,57091000,13.55
2014-08-07,13.80,13.85,13.50,13.65,58843000,13.65
2014-08-06,13.90,14.00,13.20,13.70,121219000,13.70
2014-08-05,14.30,14.40,14.00,14.00,56426000,14.00
2014-08-04,14.35,14.45,14.15,14.15,57650000,14.15
2014-08-01,13.90,14.30,13.85,14.20,62575000,14.20
2014-07-31,14.45,14.50,14.10,14.30,86337000,14.30
2014-07-30,14.15,14.50,13.85,14.45,136530000,14.45
2014-07-29,15.40,15.50,14.10,14.15,335972000,14.15
2014-07-28,15.10,15.40,15.05,15.15,158173000,15.15
2014-07-25,15.15,15.25,14.90,14.95,87665000,14.95
2014-07-24,15.10,15.40,15.10,15.10,149308000,15.10
2014-07-23,15.05,15.05,15.05,15.05,000,15.05
2014-07-22,15.00,15.10,14.75,15.05,82622000,15.05
2014-07-21,15.20,15.25,14.90,14.95,87214000,14.95
2014-07-18,14.85,15.20,14.85,15.05,91065000,15.05
2014-07-17,14.85,15.20,14.85,14.95,125911000,14.95
2014-07-16,14.95,15.10,14.60,14.80,118107000,14.80
2014-07-15,15.30,15.40,14.95,15.15,107534000,15.14
2014-07-14,15.00,15.50,14.95,15.20,172534000,15.19
2014-07-11,14.80,14.90,14.45,14.80,137953000,14.79
2014-07-10,14.90,14.95,14.50,14.80,199927000,14.79
2014-07-09,15.00,15.25,14.70,14.90,167666000,14.89
2014-07-08,15.70,15.75,15.15,15.15,177766000,15.14
2014-07-07,15.45,15.95,15.30,15.55,207563000,15.54
